"","PMID","ShortAffil","NAuth","lat","long","country"
"98","25954784",NA,1,NA,NA,NA
"99","27462947",NA,1,NA,NA,NA
"100","26242032",NA,2,NA,NA,NA
"101","28268824",NA,4,NA,NA,NA
"102","26838981",NA,1,NA,NA,NA
"103","27209838",NA,6,NA,NA,NA
"104","25609315",NA,1,NA,NA,NA
"105","26685454",NA,2,NA,NA,NA
"106","24919205",NA,4,NA,NA,NA
"107","25801426",NA,2,NA,NA,NA
"108","26394492",NA,2,NA,NA,NA
"109","26697652",NA,1,NA,NA,NA
"110","26549247",NA,1,NA,NA,NA
"111","26168549",NA,0,NA,NA,NA
"112","25482389",NA,2,NA,NA,NA
"113","27599076",NA,13,NA,NA,NA
"114","26610880",NA,4,NA,NA,NA
"115","24731503",NA,1,NA,NA,NA
"116","25516955",NA,1,NA,NA,NA
"117","26709402",NA,2,NA,NA,NA
"118","25928956",NA,1,NA,NA,NA
"119","25906856",NA,2,NA,NA,NA
"120","27214189",NA,1,NA,NA,NA
"121","26115492",NA,2,NA,NA,NA
"122","25602023",NA,16,NA,NA,NA
"123","25952484",NA,1,NA,NA,NA
"124","27906899",NA,1,NA,NA,NA
"125","26256286",NA,1,NA,NA,NA
"126","27855381",NA,0,NA,NA,NA
"127","27825492",NA,1,NA,NA,NA
"128","27416618",NA,3,NA,NA,NA
"129","27938538",NA,0,NA,NA,NA
"130","26394452",NA,1,NA,NA,NA
"131","25814149",NA,1,NA,NA,NA
"132","25613957",NA,1,NA,NA,NA
"133","26132386",NA,1,NA,NA,NA
"134","27610436",NA,1,NA,NA,NA
"135","27356115",NA,1,NA,NA,NA
"136","26957553",NA,0,NA,NA,NA
"137","26665719",NA,0,NA,NA,NA
"138","26470493",NA,1,NA,NA,NA
"139","25234290",NA,1,NA,NA,NA
"140","26204421",NA,1,NA,NA,NA
"141","26271757",NA,1,NA,NA,NA
"142","25561657",NA,1,NA,NA,NA
"143","25892679",NA,1,NA,NA,NA
"144","27505918",NA,2,NA,NA,NA
"145","27777674",NA,4,NA,NA,NA
"146","27153486",NA,0,NA,NA,NA
"147","26317135",NA,2,NA,NA,NA
"148","26074224",NA,0,NA,NA,NA
"149","27507741",NA,0,NA,NA,NA
"150","25720036",NA,6,NA,NA,NA
"151","27875471",NA,0,NA,NA,NA
"152","26040080",NA,6,NA,NA,NA
"153","25831430",NA,2,NA,NA,NA
"154","27746148",NA,1,NA,NA,NA
"155","26677597",NA,1,NA,NA,NA
